epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7871,1.43823,0.83227,1.05914,0.86478,0.79722,0.8331,0.51248,1.29881,0.64586,0.98999,0.000414847,0.000414847,0.000414847
2,158.431,1.47287,0.7936,1.06112,0.85513,0.78896,0.83236,0.51375,1.30318,0.65349,0.98606,0.000790354,0.000790354,0.000790354
3,238.535,1.47178,0.79011,1.07269,0.81805,0.77632,0.82128,0.48914,1.36137,0.65667,1.01369,0.00112461,0.00112461,0.00112461
4,320.052,1.48179,0.79554,1.07615,0.83529,0.78518,0.82993,0.49679,1.36843,0.65854,1.01473,0.00106437,0.00106437,0.00106437
5,400.34,1.4542,0.77525,1.05552,0.87988,0.80034,0.85788,0.5007,1.34363,0.63785,0.99403,0.0010025,0.0010025,0.0010025
6,480.665,1.47182,0.77787,1.05817,0.84885,0.80311,0.85298,0.50966,1.32573,0.63063,0.99553,0.000940625,0.000940625,0.000940625
7,562.472,1.45934,0.76518,1.04886,0.86094,0.79479,0.85124,0.5139,1.3078,0.64026,0.99727,0.00087875,0.00087875,0.00087875
8,642.206,1.4143,0.73733,1.04292,0.81529,0.80536,0.84872,0.51953,1.27846,0.61338,0.98492,0.000816875,0.000816875,0.000816875
9,722.468,1.42768,0.73713,1.04095,0.8693,0.79002,0.85528,0.514,1.28522,0.61068,0.9898,0.000755,0.000755,0.000755
10,802.358,1.39533,0.71705,1.04045,0.87447,0.79191,0.86069,0.53335,1.29533,0.6086,0.97144,0.000693125,0.000693125,0.000693125
11,878.581,1.36809,0.6947,1.03179,0.86471,0.81829,0.86831,0.53061,1.28932,0.59523,0.97718,0.00063125,0.00063125,0.00063125
