epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2468.29,1.36099,0.77978,1.11091,0.82843,0.72434,0.75277,0.43658,1.27457,0.67719,1.06598,0.000996313,0.000996313,0.000996313
43,2527.87,1.39318,0.78269,1.12107,0.81855,0.70997,0.73269,0.44245,1.24251,0.65539,1.05091,0.000990125,0.000990125,0.000990125
44,2587.66,1.34957,0.77487,1.13139,0.85407,0.71978,0.74825,0.44183,1.22241,0.64625,1.0466,0.000983938,0.000983938,0.000983938
45,2647.48,1.35767,0.77965,1.13272,0.82188,0.72939,0.75539,0.44855,1.23263,0.66176,1.06305,0.00097775,0.00097775,0.00097775
46,2707.28,1.34116,0.76692,1.10508,0.81465,0.71966,0.7508,0.44613,1.23095,0.66003,1.04016,0.000971562,0.000971562,0.000971562
47,2767.06,1.34373,0.75663,1.11764,0.82746,0.7176,0.74275,0.44098,1.26906,0.65545,1.06784,0.000965375,0.000965375,0.000965375
48,2826.72,1.35348,0.76113,1.10676,0.85194,0.71607,0.76914,0.45168,1.21559,0.6411,1.04856,0.000959187,0.000959187,0.000959187
49,2886.63,1.33766,0.74489,1.11133,0.81747,0.73105,0.77102,0.46157,1.23103,0.64209,1.05001,0.000953,0.000953,0.000953
50,2946.59,1.32972,0.74626,1.10729,0.83014,0.74646,0.76455,0.4517,1.19125,0.63533,1.04065,0.000946812,0.000946812,0.000946812
51,3006.45,1.32924,0.73838,1.10648,0.82976,0.7305,0.75929,0.44624,1.20838,0.64663,1.04182,0.000940625,0.000940625,0.000940625
52,3066.31,1.31183,0.7409,1.09675,0.84852,0.73583,0.77168,0.46701,1.18744,0.61113,1.02345,0.000934438,0.000934438,0.000934438
53,3126.27,1.30989,0.7404,1.09097,0.80102,0.74703,0.76275,0.45639,1.1784,0.60691,1.02757,0.00092825,0.00092825,0.00092825
54,3186.18,1.31322,0.72984,1.09441,0.81285,0.72988,0.76357,0.4638,1.19955,0.64677,1.02909,0.000922063,0.000922063,0.000922063
55,3246,1.31504,0.72715,1.09668,0.83294,0.73953,0.76671,0.45781,1.19584,0.63569,1.03987,0.000915875,0.000915875,0.000915875
56,3305.69,1.30401,0.73138,1.09675,0.79744,0.74905,0.77414,0.45683,1.19372,0.63088,1.03189,0.000909688,0.000909688,0.000909688
57,3365.56,1.31098,0.72787,1.09981,0.83171,0.72713,0.77728,0.46613,1.18391,0.61726,1.02885,0.0009035,0.0009035,0.0009035
58,3425.15,1.31182,0.73352,1.0926,0.85673,0.72156,0.77534,0.4666,1.18,0.61677,1.02551,0.000897313,0.000897313,0.000897313
59,3484.86,1.30315,0.71619,1.08562,0.82654,0.73799,0.76538,0.46541,1.18358,0.6218,1.02244,0.000891125,0.000891125,0.000891125
60,3544.92,1.2707,0.70835,1.09191,0.83544,0.74926,0.79302,0.46933,1.17206,0.60687,1.01232,0.000884938,0.000884938,0.000884938
61,3604.65,1.28772,0.71487,1.08366,0.80178,0.74817,0.77076,0.47383,1.18828,0.61479,1.02671,0.00087875,0.00087875,0.00087875
62,3664.56,1.29041,0.70934,1.07995,0.81826,0.75621,0.78988,0.47715,1.18223,0.61269,1.017,0.000872563,0.000872563,0.000872563
63,3724.2,1.29869,0.7172,1.08468,0.85283,0.73327,0.78172,0.47502,1.16745,0.6178,1.01246,0.000866375,0.000866375,0.000866375
64,3783.89,1.29624,0.7164,1.09115,0.82264,0.74948,0.78327,0.47919,1.15752,0.59599,1.01602,0.000860188,0.000860188,0.000860188
65,3843.75,1.26965,0.69975,1.08411,0.82351,0.74645,0.78482,0.47476,1.18951,0.60707,1.02609,0.000854,0.000854,0.000854
66,3903.51,1.24003,0.67812,1.07331,0.82714,0.72723,0.77454,0.47706,1.17341,0.60378,1.02239,0.000847813,0.000847813,0.000847813
67,3963.25,1.27022,0.71557,1.06873,0.87563,0.73647,0.80102,0.47946,1.1337,0.58862,1.0093,0.000841625,0.000841625,0.000841625
68,4023,1.2645,0.70279,1.06725,0.83754,0.75898,0.79352,0.48862,1.14378,0.58213,1.00106,0.000835438,0.000835438,0.000835438
69,4082.82,1.26753,0.69945,1.07645,0.8337,0.75583,0.79165,0.48443,1.15095,0.58892,1.00607,0.00082925,0.00082925,0.00082925
70,4142.34,1.26343,0.70172,1.07048,0.87009,0.73222,0.79139,0.47639,1.15165,0.59069,1.01366,0.000823063,0.000823063,0.000823063
71,4201.88,1.23979,0.68371,1.05656,0.82017,0.74569,0.79419,0.45801,1.15007,0.5962,1.01217,0.000816875,0.000816875,0.000816875
72,4261.66,1.26467,0.68818,1.07073,0.85893,0.74532,0.79639,0.48798,1.1531,0.57492,1.00556,0.000810688,0.000810688,0.000810688
73,4321.45,1.25497,0.68482,1.078,0.82923,0.74893,0.79719,0.49128,1.11577,0.57512,0.99567,0.0008045,0.0008045,0.0008045
74,4381.26,1.25494,0.69512,1.06621,0.85856,0.74386,0.78674,0.4877,1.14198,0.58833,1.00568,0.000798313,0.000798313,0.000798313
75,4440.91,1.22529,0.66895,1.05652,0.87814,0.74142,0.79896,0.49256,1.15581,0.5773,1.0164,0.000792125,0.000792125,0.000792125
76,4500.51,1.25098,0.68897,1.05968,0.86597,0.74444,0.79962,0.48717,1.12041,0.58336,0.99991,0.000785938,0.000785938,0.000785938
77,4559.95,1.2209,0.66529,1.05338,0.85519,0.7414,0.80508,0.49358,1.12492,0.57492,0.99406,0.00077975,0.00077975,0.00077975
78,4619.51,1.21316,0.67852,1.06023,0.85575,0.74915,0.80511,0.48176,1.12595,0.58164,0.99811,0.000773563,0.000773563,0.000773563
79,4679.28,1.2217,0.67174,1.05213,0.82353,0.7712,0.80607,0.48586,1.12446,0.57428,0.99223,0.000767375,0.000767375,0.000767375
80,4738.88,1.2354,0.67229,1.05802,0.8594,0.75402,0.80219,0.4955,1.10572,0.56936,0.98849,0.000761188,0.000761188,0.000761188
81,4798.68,1.23192,0.6657,1.06334,0.83048,0.75308,0.79009,0.48942,1.11227,0.56989,0.99311,0.000755,0.000755,0.000755
82,4858.44,1.25848,0.68191,1.06422,0.87061,0.74094,0.79665,0.49786,1.12723,0.56322,0.98777,0.000748813,0.000748813,0.000748813
83,4918.22,1.21998,0.66078,1.05895,0.85572,0.7579,0.81115,0.49827,1.10955,0.558,0.98784,0.000742625,0.000742625,0.000742625
84,4977.98,1.19851,0.65254,1.04868,0.87099,0.76391,0.81659,0.50302,1.11555,0.56272,0.99015,0.000736438,0.000736438,0.000736438
85,5037.76,1.19924,0.65701,1.03884,0.83065,0.75434,0.80526,0.49632,1.10448,0.55348,0.98206,0.00073025,0.00073025,0.00073025
86,5097.5,1.20549,0.6581,1.054,0.85604,0.7698,0.80936,0.49878,1.11765,0.55821,0.99149,0.000724062,0.000724062,0.000724062
87,5157.15,1.21699,0.66043,1.04176,0.84755,0.76078,0.80369,0.49816,1.11766,0.57025,0.98253,0.000717875,0.000717875,0.000717875
88,5216.94,1.20456,0.65777,1.03712,0.86069,0.76725,0.82083,0.49583,1.08493,0.55478,0.98027,0.000711687,0.000711687,0.000711687
89,5277.07,1.20297,0.64928,1.04804,0.82933,0.78007,0.81381,0.49757,1.10978,0.55551,0.98327,0.0007055,0.0007055,0.0007055
90,5336.94,1.21444,0.65061,1.04307,0.82077,0.77097,0.81266,0.49869,1.10562,0.55182,0.97815,0.000699312,0.000699312,0.000699312
91,5396.65,1.20248,0.6446,1.03506,0.82984,0.77899,0.81362,0.50879,1.0897,0.54044,0.98272,0.000693125,0.000693125,0.000693125
92,5456.31,1.18832,0.64364,1.04775,0.85963,0.77934,0.82195,0.50215,1.09496,0.55078,0.97561,0.000686937,0.000686937,0.000686937
93,5515.89,1.19779,0.64397,1.03666,0.84423,0.80318,0.81926,0.50681,1.09525,0.54277,0.97809,0.00068075,0.00068075,0.00068075
94,5575.71,1.18957,0.65058,1.04016,0.84554,0.77326,0.80699,0.50205,1.09228,0.55463,0.97688,0.000674562,0.000674562,0.000674562
