epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.0622,3.99457,10.4596,4.1181,0.79066,0.02223,0.01077,0.00255,4.07311,11.1615,3.3651,0.000414244,0.000414244,0.000414244
2,114.382,3.19104,5.88061,2.91667,0.40809,0.13826,0.1041,0.02786,2.90766,2.51812,2.319,0.000748651,0.000748651,0.000748651
3,169.573,2.7931,3.27212,2.19213,0.4198,0.30449,0.16215,0.0436,2.73496,2.49044,2.1017,0.00100056,0.00100056,0.00100056
4,225.683,2.4991,2.40424,1.93645,0.54236,0.27516,0.23528,0.09014,2.3171,1.69392,1.80548,0.00087875,0.00087875,0.00087875
5,280.287,2.29517,1.948,1.78783,0.60594,0.27967,0.32079,0.14161,2.08781,1.99424,1.65662,0.000755,0.000755,0.000755
6,335.013,2.18697,1.73897,1.70509,0.73246,0.30659,0.38595,0.17148,2.03926,1.4587,1.59262,0.00063125,0.00063125,0.00063125
7,389.899,2.05825,1.55096,1.61609,0.48141,0.49443,0.45419,0.2205,1.9306,1.33058,1.55007,0.0005075,0.0005075,0.0005075
8,444.508,1.96148,1.44675,1.54324,0.6316,0.45661,0.4753,0.21775,1.94825,1.26344,1.53349,0.00038375,0.00038375,0.00038375
9,499.307,1.89435,1.36568,1.51397,0.54074,0.49789,0.4885,0.25242,1.79696,1.15387,1.44329,0.00026,0.00026,0.00026
10,554.155,1.82499,1.2807,1.47215,0.64031,0.49248,0.53347,0.28159,1.7459,1.10319,1.40713,0.00013625,0.00013625,0.00013625
