epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,546.422,4.10054,7.90164,3.99138,0.78956,0.03169,0.04588,0.00938,4.10444,10.1119,3.305,0.000414244,0.000414244,0.000414244
2,1092.12,3.01647,3.85807,2.56071,0.45661,0.1679,0.12012,0.03452,2.83782,5.60365,2.17133,0.000822685,0.000822685,0.000822685
3,1633.03,2.57771,2.41691,1.92816,0.55987,0.31168,0.26155,0.09972,2.35677,2.15574,1.80948,0.00122288,0.00122288,0.00122288
4,2172.4,2.31439,1.89949,1.7357,0.69468,0.28596,0.35354,0.14857,2.08772,1.74684,1.63884,0.00121287,0.00121287,0.00121287
5,2711.61,2.14252,1.69099,1.63009,0.69636,0.36317,0.39093,0.18136,2.03264,1.7145,1.61059,0.0012005,0.0012005,0.0012005
6,3247.63,2.06145,1.53208,1.55712,0.78518,0.41007,0.4589,0.23217,1.91933,1.39305,1.49323,0.00118812,0.00118812,0.00118812
7,3784.71,1.97406,1.40052,1.5149,0.48255,0.37756,0.43395,0.20803,1.74518,1.35495,1.43119,0.00117575,0.00117575,0.00117575
8,4319.74,1.94826,1.35564,1.49226,0.81287,0.43114,0.50056,0.25398,1.68472,1.28373,1.38264,0.00116337,0.00116337,0.00116337
9,4856.28,1.87465,1.27092,1.44457,0.72458,0.46853,0.50418,0.27377,1.73438,1.25361,1.40931,0.001151,0.001151,0.001151
10,5391.7,1.82313,1.22072,1.38737,0.65135,0.54599,0.57148,0.27955,1.63919,1.16164,1.32613,0.00113863,0.00113863,0.00113863
11,5929.4,1.76953,1.17456,1.35843,0.71439,0.60219,0.61382,0.3343,1.63287,1.02952,1.31579,0.00112625,0.00112625,0.00112625
12,6468.07,1.73741,1.1512,1.33708,0.67119,0.58699,0.58496,0.31066,1.64802,1.01673,1.31761,0.00111388,0.00111388,0.00111388
13,7006.36,1.72219,1.11782,1.31417,0.69383,0.59894,0.61326,0.32122,1.63497,1.0344,1.29957,0.0011015,0.0011015,0.0011015
14,7544.55,1.66858,1.07812,1.29902,0.67659,0.60018,0.6107,0.34921,1.51565,0.94358,1.24343,0.00108913,0.00108913,0.00108913
15,8084.94,1.66207,1.04427,1.29023,0.7652,0.6242,0.64787,0.36108,1.56911,0.97976,1.2524,0.00107675,0.00107675,0.00107675
16,8624.41,1.60253,1.01958,1.27706,0.74639,0.58589,0.62184,0.36247,1.45153,0.96616,1.1977,0.00106437,0.00106437,0.00106437
17,9163.01,1.6094,1.0071,1.24105,0.80625,0.61237,0.65501,0.36252,1.52169,0.97892,1.22852,0.001052,0.001052,0.001052
18,9701.16,1.59673,0.97766,1.24343,0.66057,0.60751,0.62146,0.3431,1.48179,0.92259,1.19786,0.00103962,0.00103962,0.00103962
19,10238.6,1.52657,0.94243,1.22924,0.74851,0.6383,0.66597,0.38245,1.42342,0.90384,1.17701,0.00102725,0.00102725,0.00102725
20,10777.9,1.53947,0.94453,1.2338,0.76227,0.64222,0.67362,0.38028,1.37252,0.80978,1.15502,0.00101488,0.00101488,0.00101488
21,11317.6,1.48364,0.92806,1.21485,0.79344,0.65911,0.68182,0.39674,1.44099,0.84654,1.1784,0.0010025,0.0010025,0.0010025
22,11859.4,1.52802,0.92236,1.20443,0.77321,0.68094,0.70706,0.40499,1.37398,0.81673,1.13783,0.000990125,0.000990125,0.000990125
23,12398.8,1.49067,0.90175,1.18878,0.76101,0.65848,0.67822,0.39099,1.40589,0.84958,1.18311,0.00097775,0.00097775,0.00097775
24,12939.2,1.49193,0.8884,1.18887,0.73022,0.68106,0.69893,0.41407,1.31919,0.80156,1.1152,0.000965375,0.000965375,0.000965375
25,13477.9,1.46665,0.87239,1.17708,0.79099,0.65906,0.70503,0.41834,1.31595,0.77236,1.11131,0.000953,0.000953,0.000953
26,14016.3,1.45269,0.87336,1.16645,0.79463,0.66279,0.70067,0.40677,1.35954,0.79048,1.13208,0.000940625,0.000940625,0.000940625
27,14555,1.44397,0.86011,1.16647,0.81666,0.63076,0.69226,0.40731,1.34809,0.79785,1.11193,0.00092825,0.00092825,0.00092825
28,15094.8,1.44756,0.85786,1.17312,0.75522,0.67186,0.696,0.41811,1.32808,0.76568,1.10836,0.000915875,0.000915875,0.000915875
29,15636,1.41342,0.83042,1.15674,0.7939,0.68568,0.71482,0.43364,1.2951,0.74213,1.09307,0.0009035,0.0009035,0.0009035
30,16175.1,1.43272,0.83666,1.16245,0.78857,0.68292,0.7077,0.40916,1.32966,0.78014,1.11991,0.000891125,0.000891125,0.000891125
31,16714,1.41524,0.85053,1.15246,0.77337,0.67962,0.71082,0.43263,1.27536,0.72794,1.10158,0.00087875,0.00087875,0.00087875
32,17255.9,1.39957,0.80699,1.14177,0.78002,0.67167,0.72051,0.4325,1.26934,0.80912,1.07614,0.000866375,0.000866375,0.000866375
33,17794.6,1.40929,0.80959,1.12977,0.81455,0.68527,0.72867,0.43873,1.27096,0.71403,1.08274,0.000854,0.000854,0.000854
34,18333.9,1.37434,0.80563,1.13927,0.7718,0.70154,0.7222,0.43232,1.32055,0.7109,1.08799,0.000841625,0.000841625,0.000841625
35,18875.1,1.33674,0.76455,1.11895,0.8063,0.67738,0.7108,0.42542,1.24791,0.72339,1.06497,0.00082925,0.00082925,0.00082925
36,19413.9,1.3846,0.79586,1.13266,0.79089,0.70267,0.72051,0.42991,1.31805,0.71362,1.09258,0.000816875,0.000816875,0.000816875
37,19955.1,1.39764,0.80622,1.13137,0.81198,0.68636,0.71978,0.43275,1.25512,0.76419,1.07308,0.0008045,0.0008045,0.0008045
38,20493.9,1.36422,0.78842,1.13138,0.85056,0.69372,0.74206,0.46087,1.21777,0.6618,1.05104,0.000792125,0.000792125,0.000792125
39,21035,1.34679,0.77831,1.11706,0.80322,0.67954,0.72175,0.44451,1.23932,0.70947,1.06236,0.00077975,0.00077975,0.00077975
40,21576.7,1.35412,0.77527,1.11611,0.79978,0.72049,0.75425,0.45901,1.20188,0.66505,1.0521,0.000767375,0.000767375,0.000767375
41,22117.3,1.35042,0.77175,1.11815,0.81176,0.72547,0.75665,0.45849,1.22685,0.65933,1.05981,0.000755,0.000755,0.000755
42,22656.1,1.32821,0.76015,1.10244,0.8103,0.72336,0.76146,0.45591,1.25362,0.67919,1.06328,0.000742625,0.000742625,0.000742625
43,23206.7,1.36218,0.76458,1.10829,0.77965,0.70405,0.73056,0.44652,1.24455,0.65243,1.0494,0.00073025,0.00073025,0.00073025
44,23747.7,1.31487,0.74953,1.11367,0.82797,0.73429,0.76475,0.46681,1.18864,0.65221,1.04443,0.000717875,0.000717875,0.000717875
45,24287.2,1.31536,0.75576,1.11741,0.83249,0.71732,0.76827,0.45964,1.18954,0.63178,1.03728,0.0007055,0.0007055,0.0007055
46,24824.7,1.30227,0.75764,1.08703,0.82578,0.69731,0.75654,0.45607,1.20669,0.65789,1.03602,0.000693125,0.000693125,0.000693125
47,25363.9,1.30777,0.7403,1.09963,0.84367,0.71778,0.77691,0.46324,1.19751,0.63607,1.04255,0.00068075,0.00068075,0.00068075
48,25902.9,1.31317,0.73649,1.08966,0.84459,0.74403,0.78261,0.47306,1.18132,0.62166,1.03317,0.000668375,0.000668375,0.000668375
49,26440.9,1.30122,0.72131,1.09656,0.84297,0.70968,0.75697,0.4693,1.19916,0.6246,1.04143,0.000656,0.000656,0.000656
50,26979.5,1.30068,0.73122,1.09572,0.83549,0.72059,0.77611,0.46799,1.16936,0.62781,1.0325,0.000643625,0.000643625,0.000643625
51,27520.9,1.28846,0.7164,1.08391,0.82597,0.73535,0.77122,0.46823,1.17775,0.61548,1.01927,0.00063125,0.00063125,0.00063125
52,28062.3,1.27934,0.71957,1.08595,0.81262,0.74423,0.77988,0.46991,1.19687,0.61981,1.0322,0.000618875,0.000618875,0.000618875
53,28601.1,1.26603,0.7018,1.07198,0.80451,0.72647,0.76894,0.47148,1.18988,0.61954,1.02604,0.0006065,0.0006065,0.0006065
54,29141.9,1.28597,0.71716,1.08343,0.79983,0.74112,0.77153,0.46756,1.2012,0.63057,1.02799,0.000594125,0.000594125,0.000594125
55,29681.1,1.27532,0.70188,1.08557,0.80584,0.76329,0.78675,0.4733,1.17263,0.61171,1.02779,0.00058175,0.00058175,0.00058175
56,30219.8,1.25268,0.70862,1.08144,0.81404,0.73556,0.77877,0.48233,1.15056,0.62916,1.01185,0.000569375,0.000569375,0.000569375
57,30759.3,1.2547,0.70427,1.07773,0.83215,0.73837,0.78233,0.47694,1.16303,0.60975,1.01797,0.000557,0.000557,0.000557
58,31297.8,1.26874,0.70645,1.07326,0.80036,0.73129,0.78046,0.46535,1.1907,0.60579,1.03603,0.000544625,0.000544625,0.000544625
59,31840.2,1.25737,0.7,1.07382,0.83903,0.72485,0.77916,0.4831,1.13883,0.61736,1.00983,0.00053225,0.00053225,0.00053225
60,32382.1,1.22152,0.68756,1.07378,0.80456,0.74671,0.7818,0.47313,1.15819,0.60707,1.01096,0.000519875,0.000519875,0.000519875
61,32925.4,1.25377,0.69963,1.07503,0.86163,0.73304,0.78991,0.47342,1.1788,0.60792,1.02038,0.0005075,0.0005075,0.0005075
62,33467.3,1.24071,0.68122,1.06341,0.8101,0.74303,0.78495,0.47941,1.15259,0.592,1.01084,0.000495125,0.000495125,0.000495125
63,34009.9,1.24921,0.68483,1.0633,0.8403,0.75004,0.78864,0.48722,1.15457,0.59508,1.00653,0.00048275,0.00048275,0.00048275
64,34554.1,1.24353,0.67989,1.06923,0.81755,0.75325,0.79503,0.48569,1.15262,0.58776,1.01259,0.000470375,0.000470375,0.000470375
65,35098.2,1.231,0.67803,1.07095,0.81976,0.74349,0.7896,0.47342,1.15042,0.59164,1.01589,0.000458,0.000458,0.000458
66,35643.3,1.18857,0.65157,1.04991,0.83021,0.77538,0.80528,0.48727,1.15597,0.58742,1.01207,0.000445625,0.000445625,0.000445625
67,36188.5,1.23654,0.6821,1.05448,0.80652,0.7768,0.80566,0.49595,1.12095,0.578,0.99963,0.00043325,0.00043325,0.00043325
68,36734,1.21187,0.66834,1.04472,0.81987,0.76194,0.80336,0.49584,1.1287,0.57778,0.99806,0.000420875,0.000420875,0.000420875
69,37279.6,1.21212,0.66586,1.05396,0.84201,0.76004,0.80955,0.49157,1.12748,0.58146,1.00251,0.0004085,0.0004085,0.0004085
70,37824.6,1.2118,0.66876,1.05073,0.80707,0.76435,0.7933,0.49019,1.13758,0.57817,1.0002,0.000396125,0.000396125,0.000396125
71,38369.4,1.197,0.65272,1.04296,0.8155,0.7686,0.80487,0.48859,1.12517,0.57464,1.00236,0.00038375,0.00038375,0.00038375
72,38916,1.21537,0.65727,1.04801,0.79322,0.78223,0.79774,0.49677,1.13591,0.56705,1.00327,0.000371375,0.000371375,0.000371375
73,39461.6,1.19808,0.65002,1.05755,0.78723,0.78796,0.80294,0.49553,1.11823,0.56608,0.99089,0.000359,0.000359,0.000359
74,40007.3,1.19683,0.65664,1.04469,0.84969,0.76524,0.80916,0.49494,1.14034,0.57288,1.00142,0.000346625,0.000346625,0.000346625
75,40553.3,1.17122,0.63441,1.03854,0.85648,0.73994,0.80426,0.49237,1.1359,0.57145,1.00116,0.00033425,0.00033425,0.00033425
76,41098,1.19152,0.64816,1.04598,0.82661,0.7816,0.81368,0.49557,1.11779,0.55952,0.99818,0.000321875,0.000321875,0.000321875
77,41643.8,1.16578,0.63059,1.03799,0.81336,0.75698,0.80331,0.49968,1.11388,0.58192,0.99252,0.0003095,0.0003095,0.0003095
78,42189.9,1.16133,0.63375,1.0407,0.83809,0.76594,0.81031,0.4905,1.12981,0.56325,0.99951,0.000297125,0.000297125,0.000297125
79,42736.2,1.15355,0.62866,1.032,0.81703,0.76927,0.81059,0.4949,1.11548,0.57034,0.9925,0.00028475,0.00028475,0.00028475
80,43283,1.18832,0.63665,1.04309,0.81525,0.78058,0.8052,0.49612,1.10512,0.5541,0.99141,0.000272375,0.000272375,0.000272375
81,43829.1,1.17869,0.63177,1.04606,0.8245,0.78408,0.81192,0.49778,1.11326,0.55282,0.98885,0.00026,0.00026,0.00026
82,44375.7,1.19415,0.64671,1.03843,0.83704,0.77037,0.81173,0.49745,1.11515,0.56133,0.98828,0.000247625,0.000247625,0.000247625
83,44921.7,1.14989,0.62081,1.03472,0.84318,0.75426,0.80534,0.49607,1.1135,0.5625,0.98692,0.00023525,0.00023525,0.00023525
84,45467.5,1.14724,0.61473,1.02882,0.82678,0.78911,0.81384,0.49989,1.09937,0.54866,0.98581,0.000222875,0.000222875,0.000222875
85,46013.9,1.1497,0.61976,1.02385,0.8452,0.77344,0.82187,0.51098,1.09567,0.54411,0.98198,0.0002105,0.0002105,0.0002105
86,46559.4,1.1452,0.61738,1.0312,0.83277,0.76954,0.81533,0.5045,1.09978,0.55659,0.98301,0.000198125,0.000198125,0.000198125
87,47105.8,1.15584,0.6242,1.02073,0.84971,0.76437,0.81288,0.50225,1.10138,0.55393,0.98348,0.00018575,0.00018575,0.00018575
88,47651.6,1.14793,0.61552,1.01791,0.83729,0.77335,0.8166,0.50977,1.10204,0.55471,0.98319,0.000173375,0.000173375,0.000173375
89,48193.4,1.1312,0.60574,1.02306,0.842,0.77365,0.81279,0.50534,1.10466,0.54548,0.98422,0.000161,0.000161,0.000161
90,48739.5,1.13603,0.60971,1.01967,0.8463,0.76634,0.81197,0.50943,1.09783,0.54539,0.97985,0.000148625,0.000148625,0.000148625
91,49277,1.08266,0.57058,1.00312,0.81629,0.79199,0.81648,0.50542,1.10229,0.54377,0.97607,0.00013625,0.00013625,0.00013625
92,49816.4,1.0851,0.56757,0.99561,0.82323,0.77386,0.81393,0.50998,1.10176,0.54538,0.9795,0.000123875,0.000123875,0.000123875
93,50354.7,1.07633,0.56139,1.00081,0.8198,0.78091,0.81531,0.51098,1.10299,0.54393,0.97955,0.0001115,0.0001115,0.0001115
94,50892.9,1.08428,0.57189,0.99029,0.83791,0.76728,0.81504,0.51262,1.09699,0.54012,0.97539,9.9125e-05,9.9125e-05,9.9125e-05
95,51430.5,1.06135,0.55938,0.98181,0.82171,0.78137,0.81277,0.5114,1.09432,0.54225,0.97452,8.675e-05,8.675e-05,8.675e-05
96,51969.1,1.05245,0.54743,0.98024,0.83294,0.76863,0.81277,0.50896,1.09975,0.54344,0.97207,7.4375e-05,7.4375e-05,7.4375e-05
97,52508.2,1.06255,0.55767,0.98601,0.82888,0.77299,0.81246,0.5142,1.08616,0.53808,0.97096,6.2e-05,6.2e-05,6.2e-05
98,53047.2,1.05768,0.54843,0.98279,0.83086,0.77978,0.81567,0.51682,1.08853,0.53637,0.97216,4.9625e-05,4.9625e-05,4.9625e-05
99,53587.1,1.05035,0.55055,0.9774,0.8262,0.77888,0.81737,0.51647,1.09716,0.5381,0.97444,3.725e-05,3.725e-05,3.725e-05
100,54127,1.03653,0.54558,0.97404,0.82773,0.77749,0.81754,0.51292,1.08738,0.53525,0.97183,2.4875e-05,2.4875e-05,2.4875e-05
