epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3497,1.09741,0.60625,1.02525,0.85593,0.75965,0.81783,0.51112,1.12042,0.59154,1.03745,0.000414313,0.000414313,0.000414313
2,128.535,1.16366,0.63135,1.0358,0.82299,0.75646,0.80218,0.50782,1.14944,0.63113,1.04608,0.000789846,0.000789846,0.000789846
3,192.236,1.18995,0.66413,1.05186,0.85647,0.76518,0.82144,0.5004,1.14631,0.60563,1.05474,0.00112413,0.00112413,0.00112413
4,255.466,1.20979,0.67504,1.06175,0.8108,0.76585,0.81014,0.49856,1.15754,0.60775,1.05866,0.00106437,0.00106437,0.00106437
5,317.776,1.19401,0.66834,1.03788,0.81568,0.77544,0.82572,0.50625,1.13788,0.61079,1.05094,0.0010025,0.0010025,0.0010025
6,379.925,1.21784,0.67421,1.05267,0.81406,0.73484,0.79797,0.48198,1.16633,0.6408,1.06572,0.000940625,0.000940625,0.000940625
7,442.14,1.18588,0.65016,1.05591,0.80374,0.77149,0.81089,0.5104,1.15096,0.60814,1.04297,0.00087875,0.00087875,0.00087875
8,503.637,1.19911,0.65163,1.05539,0.86963,0.76638,0.8262,0.51022,1.10361,0.59258,1.03548,0.000816875,0.000816875,0.000816875
9,564.478,1.18398,0.64336,1.03222,0.85504,0.76746,0.82792,0.50592,1.14139,0.59424,1.04331,0.000755,0.000755,0.000755
10,626.206,1.15379,0.62499,1.03163,0.81291,0.78406,0.81373,0.50788,1.12171,0.59801,1.03374,0.000693125,0.000693125,0.000693125
11,684.647,1.1469,0.61412,1.0246,0.88268,0.73473,0.80708,0.50512,1.1115,0.58607,1.04181,0.00063125,0.00063125,0.00063125
12,742.395,1.13557,0.60101,1.02888,0.81802,0.77818,0.81963,0.51038,1.11347,0.58359,1.0378,0.000569375,0.000569375,0.000569375
13,800.774,1.13238,0.60241,1.02907,0.84226,0.76161,0.82546,0.51106,1.12688,0.59396,1.04886,0.0005075,0.0005075,0.0005075
14,858.926,1.09536,0.57764,1.00477,0.87041,0.78061,0.83956,0.52963,1.10643,0.55701,1.03976,0.000445625,0.000445625,0.000445625
15,917.276,1.10272,0.572,1.00429,0.84772,0.79299,0.84082,0.53448,1.08613,0.5516,1.02811,0.00038375,0.00038375,0.00038375
16,975.739,1.08437,0.56439,1.00334,0.85444,0.79125,0.83185,0.53395,1.07831,0.5554,1.01372,0.000321875,0.000321875,0.000321875
17,1034.23,1.07064,0.56032,0.98661,0.85696,0.78462,0.83949,0.53258,1.06991,0.54962,1.0221,0.00026,0.00026,0.00026
18,1092.53,1.0609,0.54958,0.99032,0.84546,0.79248,0.84054,0.54034,1.05899,0.53659,1.01444,0.000198125,0.000198125,0.000198125
19,1150.67,1.04665,0.54194,0.9837,0.85723,0.79033,0.84532,0.54644,1.0434,0.53521,1.00747,0.00013625,0.00013625,0.00013625
20,1209.02,1.04526,0.53973,0.98374,0.84916,0.79742,0.84254,0.54576,1.0412,0.53512,1.00252,7.4375e-05,7.4375e-05,7.4375e-05
