epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5218,1.42609,1.71155,1.05406,0.80539,0.74826,0.78453,0.44419,1.30291,0.72943,0.98873,0.000368716,0.000368716,0.000368716
2,162.466,1.46891,1.06227,1.05801,0.82142,0.75256,0.80457,0.45812,1.31668,0.68706,0.98374,0.000702467,0.000702467,0.000702467
3,239.069,1.47094,0.92453,1.07179,0.81951,0.74917,0.8012,0.45325,1.32364,0.65744,0.99916,0.000999554,0.000999554,0.000999554
4,319.228,1.47254,0.88126,1.07125,0.81376,0.76346,0.81267,0.44844,1.34571,0.72216,1.00502,0.000946016,0.000946016,0.000946016
5,399.29,1.45147,0.83284,1.05097,0.86035,0.77848,0.82248,0.4678,1.30596,0.64452,0.97961,0.000891022,0.000891022,0.000891022
6,478.969,1.47283,0.82789,1.0555,0.83817,0.79088,0.8256,0.47191,1.359,0.6458,0.99113,0.000836027,0.000836027,0.000836027
7,557.248,1.43804,0.79727,1.04241,0.8384,0.78538,0.82469,0.47558,1.28038,0.63933,0.9737,0.000781033,0.000781033,0.000781033
8,637.328,1.40639,0.76662,1.03785,0.8396,0.78796,0.83814,0.49266,1.25791,0.61214,0.97234,0.000726038,0.000726038,0.000726038
9,715.35,1.42093,0.76618,1.03724,0.89171,0.75925,0.84035,0.48547,1.2621,0.60849,0.97143,0.000671044,0.000671044,0.000671044
10,793.16,1.38594,0.73922,1.03474,0.85548,0.78757,0.83642,0.4989,1.3115,0.61514,0.96956,0.000616049,0.000616049,0.000616049
11,865.734,1.36072,0.72476,1.02798,0.85259,0.80216,0.8393,0.4873,1.27462,0.59721,0.97269,0.000561055,0.000561055,0.000561055
12,938.881,1.34509,0.70685,1.01982,0.85082,0.80637,0.83982,0.49861,1.25878,0.59207,0.96162,0.00050606,0.00050606,0.00050606
13,1012.96,1.32165,0.68564,1.01168,0.86243,0.80965,0.84667,0.50204,1.27126,0.59533,0.98124,0.000451066,0.000451066,0.000451066
14,1087.85,1.3149,0.68025,1.00698,0.86307,0.78226,0.83605,0.49958,1.25358,0.59301,0.96179,0.000396071,0.000396071,0.000396071
15,1161.86,1.30354,0.66556,1.01061,0.86351,0.8029,0.85372,0.50905,1.23835,0.57719,0.96127,0.000341077,0.000341077,0.000341077
16,1235.81,1.28228,0.64977,0.99918,0.85843,0.81163,0.85943,0.51706,1.22009,0.55705,0.95151,0.000286083,0.000286083,0.000286083
17,1310.88,1.27571,0.64468,0.98933,0.87203,0.79992,0.85338,0.51306,1.21901,0.56189,0.95593,0.000231088,0.000231088,0.000231088
18,1386.12,1.25441,0.63688,0.98752,0.88044,0.78817,0.85343,0.519,1.19011,0.55474,0.94834,0.000176094,0.000176094,0.000176094
19,1462.31,1.23853,0.62532,0.97866,0.8722,0.80106,0.85533,0.52103,1.19448,0.55052,0.94397,0.000121099,0.000121099,0.000121099
20,1537.43,1.23524,0.61848,0.98405,0.86045,0.8042,0.85428,0.52684,1.18032,0.54572,0.94259,6.61045e-05,6.61045e-05,6.61045e-05
